,zip_code,都,区,町,Prefecture,District,Area,lat,long
85,1010063,東京都,千代田区,神田淡路町,TOKYO TO,CHIYODA KU,KANDAAWAJICHO,,
86,1010024,東京都,千代田区,神田和泉町,TOKYO TO,CHIYODA KU,KANDAIZUMICHO,,
87,1010033,東京都,千代田区,神田岩本町,TOKYO TO,CHIYODA KU,KANDAIWAMOTOCHO,,
88,1010052,東京都,千代田区,神田小川町,TOKYO TO,CHIYODA KU,KANDAOGAWAMACHI,,
89,1010045,東京都,千代田区,神田鍛冶町,TOKYO TO,CHIYODA KU,KANDAKAJICHO,,
90,1010036,東京都,千代田区,神田北乗物町,TOKYO TO,CHIYODA KU,KANDAKITANORIMONOCHO,,
91,1010035,東京都,千代田区,神田紺屋町,TOKYO TO,CHIYODA KU,KANDAKONYACHO,,
92,1010026,東京都,千代田区,神田佐久間河岸,TOKYO TO,CHIYODA KU,KANDASAKUMAGASHI,,
93,1010025,東京都,千代田区,神田佐久間町,TOKYO TO,CHIYODA KU,KANDASAKUMACHO,,
94,1010064,東京都,千代田区,神田猿楽町,TOKYO TO,CHIYODA KU,KANDASARUGAKUCHO,,
95,1010051,東京都,千代田区,神田神保町,TOKYO TO,CHIYODA KU,KANDAJIMBOCHO,,
96,1010041,東京都,千代田区,神田須田町,TOKYO TO,CHIYODA KU,KANDASUDACHO,,
97,1010062,東京都,千代田区,神田駿河台,TOKYO TO,CHIYODA KU,KANDASURUGADAI,35.6986932,139.7629995
98,1010046,東京都,千代田区,神田多町,TOKYO TO,CHIYODA KU,KANDATACHO,,
99,1010048,東京都,千代田区,神田司町,TOKYO TO,CHIYODA KU,KANDATSUKASAMACHI,,
100,1010043,東京都,千代田区,神田富山町,TOKYO TO,CHIYODA KU,KANDATOMIYAMACHO,,
101,1010054,東京都,千代田区,神田錦町,TOKYO TO,CHIYODA KU,KANDANISHIKICHO,,
102,1010037,東京都,千代田区,神田西福田町,TOKYO TO,CHIYODA KU,KANDANISHIFUKUDACHO,,
103,1010022,東京都,千代田区,神田練塀町,TOKYO TO,CHIYODA KU,KANDANERIBEICHO,,
104,1010028,東京都,千代田区,神田花岡町,TOKYO TO,CHIYODA KU,KANDAHANAOKACHO,,
105,1010034,東京都,千代田区,神田東紺屋町,TOKYO TO,CHIYODA KU,KANDAHIGASHIKONYACHO,,
106,1010042,東京都,千代田区,神田東松下町,TOKYO TO,CHIYODA KU,KANDAHIGASHIMATSUSHITACHO,,
107,1010027,東京都,千代田区,神田平河町,TOKYO TO,CHIYODA KU,KANDAHIRAKAWACHO,,
108,1010023,東京都,千代田区,神田松永町,TOKYO TO,CHIYODA KU,KANDAMATSUNAGACHO,,
109,1010038,東京都,千代田区,神田美倉町,TOKYO TO,CHIYODA KU,KANDAMIKURACHO,,
110,1010061,東京都,千代田区,神田三崎町,TOKYO TO,CHIYODA KU,KANDAMISAKICHO,,
111,1010053,東京都,千代田区,神田美土代町,TOKYO TO,CHIYODA KU,KANDAMITOSHIROCHO,,
112,1020094,東京都,千代田区,紀尾井町,TOKYO TO,CHIYODA KU,KIOICHO,35.6808091,139.7356798
113,1020091,東京都,千代田区,北の丸公園,TOKYO TO,CHIYODA KU,KITANOMARUKOEN,,
114,1020074,東京都,千代田区,九段南,TOKYO TO,CHIYODA KU,KUDAMMINAMI,,
115,1020073,東京都,千代田区,九段北,TOKYO TO,CHIYODA KU,KUDANKITA,35.696631,139.750947
116,1000002,東京都,千代田区,皇居外苑,TOKYO TO,CHIYODA KU,KOKYOGAIEN,,
117,1020083,東京都,千代田区,麹町,TOKYO TO,CHIYODA KU,KOJIMACHI,,
118,1020076,東京都,千代田区,五番町,TOKYO TO,CHIYODA KU,GOBANCHO,,
119,1020075,東京都,千代田区,三番町,TOKYO TO,CHIYODA KU,SAMBANCHO,,
120,1010021,東京都,千代田区,外神田,TOKYO TO,CHIYODA KU,SOTOKANDA,35.70371815,139.7724536421371
121,1000001,東京都,千代田区,千代田,TOKYO TO,CHIYODA KU,CHIYODA,35.6818391,139.7618802
122,1000014,東京都,千代田区,永田町　（次のビルを除く）,TOKYO TO,CHIYODA KU,NAGATACHO (TSUGINOBIRUONOZOKU),,
123,1006190,東京都,千代田区,永田町　山王パークタワー（地階・階,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(CHIKAI.KAIS,,
124,1006101,東京都,千代田区,永田町　山王パークタワー（１階）,TOKYO TO,CHIYODA KU,NAGATACHO SANNOPAKUTAWA(1-KAI),,
